instrument_oid;instrument_type;category;num_underlyings;expiry_date;time_to_expiry;num_paths;num_time_steps;num_exercise_events;calibration_date;calibration_time
27307243;Option;BRC;3;17.07.2024 17:30;0.128767123;15000;1;0;31.05.2024;17.015625
27681997;Option;BRC;3;30.04.2025 17:30;0.915068493;15000;1;0;31.05.2024;20.265625
27764488;Option;BRC;3;25.11.2024 17:30;0.487671233;15000;1;0;31.05.2024;19.3125
27664673;Option;BRC;3;30.04.2025 17:30;0.915068493;15000;1;0;31.05.2024;21.140625
27576921;Option;BRC;3;28.03.2025 17:30;0.824657534;15000;1;0;31.05.2024;19.234375
27445631;TotalReturnSwap;CBRC;3;28.08.2025 00:00;1.243835616;15000;1;5;31.05.2024;50.65625
26853522;Option;BRC;1;16.08.2024 17:30;0.210958904;15000;1;0;31.05.2024;1.75
27172004;TotalReturnSwap;AC;3;29.11.2024 00:00;0.498630137;15000;1;2;31.05.2024;25.234375
27328204;Option;BRC;4;19.12.2024 22:00;0.553424658;15000;1;0;31.05.2024;48.390625
26439696;Option;BRC;3;17.03.2025 17:30;0.794520548;15000;1;0;31.05.2024;18.6875
26577572;Option;BRC;3;04.05.2026 22:00;1.926027397;15000;1;0;31.05.2024;20.875
27392844;Option;BRC;2;07.11.2024 17:35;0.438356164;15000;1;0;31.05.2024;6.609375
26904931;TotalReturnSwap;AC;5;09.09.2024 00:00;0.276712329;15000;1;4;31.05.2024;166.453125
26851357;Option;BRC;2;15.08.2024 17:30;0.208219178;15000;1;0;31.05.2024;6.21875
27483096;Option;BRC;3;06.03.2025 17:30;0.764383562;15000;1;0;31.05.2024;19.609375
27169090;Option;BRC;3;21.11.2024 22:00;0.476712329;15000;1;0;31.05.2024;20.28125
27477083;Option;BRC;2;04.03.2025 17:30;0.75890411;15000;1;0;31.05.2024;6.890625
27555424;TotalReturnSwap;CBRC;3;26.09.2025 00:00;1.323287671;15000;1;6;31.05.2024;65.515625
27476096;Option;BRC;3;04.09.2024 17:30;0.263013699;15000;1;0;31.05.2024;19.546875
27568063;TotalReturnSwap;CBRC;3;31.03.2025 00:00;0.832876712;15000;1;3;31.05.2024;36.859375
27325889;TotalReturnSwap;AC;3;27.01.2025 00:00;0.660273973;15000;1;3;31.05.2024;32.359375
27576872;TotalReturnSwap;CBRC;5;04.04.2025 00:00;0.843835616;15000;1;4;31.05.2024;177.484375
27550843;Option;BRC;3;19.03.2025 17:30;0.8;15000;1;0;31.05.2024;19.75
27318447;Option;BRC;3;15.01.2025 17:35;0.62739726;15000;1;0;31.05.2024;21.203125
27137294;Option;BRC;1;18.11.2024 17:00;0.468493151;15000;1;0;31.05.2024;1.671875
26836715;Option;BRC;3;07.08.2024 22:00;0.18630137;15000;1;0;31.05.2024;19.859375
26929281;Option;BRC;4;13.09.2024 17:30;0.287671233;15000;1;0;31.05.2024;42.75
27568604;Option;BRC;3;25.03.2025 17:30;0.816438356;15000;1;0;31.05.2024;18.40625
27390085;Option;BRC;3;06.02.2025 17:35;0.687671233;15000;1;0;31.05.2024;18.984375
27485661;Option;BRC;2;07.03.2025 22:00;0.767123288;15000;1;0;31.05.2024;7.109375
26757421;Option;BRC;3;08.07.2024 17:30;0.104109589;15000;1;0;31.05.2024;20.15625
27764640;Option;BRC;3;23.05.2025 17:30;0.978082192;15000;1;0;31.05.2024;19.59375
27764585;TotalReturnSwap;AC;3;02.06.2025 00:00;1.005479452;15000;1;4;31.05.2024;40.34375
26923564;Option;BRC;3;11.09.2024 17:30;0.282191781;15000;1;0;31.05.2024;18.984375
27020366;TotalReturnSwap;AC;3;16.04.2025 00:00;0.876712329;15000;1;4;31.05.2024;53.1875
27605897;Option;BRC;2;12.12.2024 22:00;0.534246575;15000;1;0;31.05.2024;7.046875
27485210;Option;BRC;2;07.03.2025 17:30;0.767123288;15000;1;0;31.05.2024;8.65625
26882726;Option;BRC;1;21.08.2024 17:30;0.224657534;15000;1;0;31.05.2024;1.640625
27593792;Option;BRC;1;04.09.2024 17:30;0.263013699;15000;1;0;31.05.2024;1.859375
27384561;TotalReturnSwap;AC;3;09.02.2026 00:00;1.695890411;15000;1;7;31.05.2024;59.328125
27595749;Option;BRC;3;08.04.2025 17:30;0.854794521;15000;1;0;31.05.2024;21.5625
27212247;Option;BRC;1;11.06.2024 22:00;0.030136986;15000;1;0;31.05.2024;1.890625
